BEGIN EXPERIMENT
Window dimensions: 1536  864
Image top left corner: 256.0  48.0
Begin mouse recording... 
Img	OriX	OriY	ImgX	ImgY
01006	922	471	666.0	423.0
01006	927	462	671.0	414.0
01006	966	446	710.0	398.0
01006	966	458	710.0	410.0
01006	892	479	636.0	431.0
01006	824	426	568.0	378.0
01006	810	420	554.0	372.0
01006	786	415	530.0	367.0
01006	773	404	517.0	356.0
01006	772	403	516.0	355.0
01006	692	437	436.0	389.0
01006	692	437	436.0	389.0
01006	708	465	452.0	417.0
01006	708	479	452.0	431.0
01006	661	482	405.0	434.0
01006	655	478	399.0	430.0
01006	635	466	379.0	418.0
01006	632	466	376.0	418.0
01006	627	470	371.0	422.0
01006	627	470	371.0	422.0
01006	627	470	371.0	422.0
01006	627	470	371.0	422.0
01006	627	470	371.0	422.0
